var1,var2,correlation,abs_corr
avg_on_time_rate,students_active_last_7_days,-0.035661271017378426,0.035661271017378426
avg_page_views_level,assignment_count,-0.03279965992890552,0.03279965992890552
avg_page_views_level,avg_late_rate,-0.03172347493448436,0.03172347493448436
grade_std,students_active_last_7_days,-0.027672036229817776,0.027672036229817776
avg_participations,students_active_last_7_days,-0.02517580950808809,0.02517580950808809
avg_late_rate,students_active_last_7_days,-0.018950791111960304,0.018950791111960304
avg_page_views_level,graded_assignment_count,-0.017311815206571324,0.017311815206571324
students_active_last_7_days,activity_engagement_score,-0.016445333318910512,0.016445333318910512
students_active_last_7_days,activity_prediction_score,-0.014267170112281177,0.014267170112281177
grade_mean,students_active_last_7_days,-0.011796812291272945,0.011796812291272945
avg_participations,avg_page_views_level,-0.011497366817250604,0.011497366817250604
graded_assignment_count,students_active_last_7_days,0.00826012493341342,0.00826012493341342
avg_missing_rate,students_active_last_7_days,0.007783061320424884,0.007783061320424884
avg_page_views_level,failure_rate,-0.005434899386422821,0.005434899386422821
assignment_count,students_active_last_7_days,0.0053792580048358666,0.0053792580048358666
avg_page_views_level,grade_std,0.003825970961404572,0.003825970961404572
avg_page_views_level,avg_days_since_last_login,-0.0036202764003075796,0.0036202764003075796
avg_page_views_level,grade_mean,-0.0034839976793088158,0.0034839976793088158
avg_page_views_level,students_active_last_7_days,-0.0008719122752726161,0.0008719122752726161
